map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
29015,midwest,rural,very high elderly percentage,very high access to doctors,high uninsured rate,low diabetes rate,very high cardiovascular disease rate,very high poverty rate,very low african american population,low hispanic population,0.806431,0.628303088,very high covid risk index,high social vulnerability rank
4012,southwest,rural,very high elderly percentage,high access to doctors,very high uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very high poverty rate,low african american population,very high hispanic population,0.806749,0.697124058,very high covid risk index,very high social vulnerability rank
8023,rockies,rural,very high elderly percentage,null,high uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very high poverty rate,very low african american population,very high hispanic population,0.807068,0.621776504,very high covid risk index,high social vulnerability rank
48307,southwest,rural,very high elderly percentage,moderate access to doctors,very high uninsured rate,moderate diabetes rate,low cardiovascular disease rate,high poverty rate,medium african american population,very high hispanic population,0.807386,0.672238141,very high covid risk index,very high social vulnerability rank
13305,southeast,rural,low elderly percentage,high access to doctors,high uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,null,high hispanic population,0.807705,0.667993208,very high covid risk index,very high social vulnerability rank
48335,southwest,rural,low elderly percentage,moderate access to doctors,very high uninsured rate,very low diabetes rate,high cardiovascular disease rate,very high poverty rate,high african american population,very high hispanic population,0.808023,0.628250027,very high covid risk index,high social vulnerability rank
22035,southeast,rural,very low elderly percentage,high access to doctors,low uninsured rate,high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.808341,0.681258623,very high covid risk index,very high social vulnerability rank
37087,southeast,small city,very high elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,low african american population,medium hispanic population,0.80866,0.586702749,very high covid risk index,high social vulnerability rank
47099,southeast,rural,moderate elderly percentage,high access to doctors,high uninsured rate,high diabetes rate,high cardiovascular disease rate,high poverty rate,medium african american population,low hispanic population,0.808978,0.614878489,very high covid risk index,high social vulnerability rank
48503,southwest,rural,high elderly percentage,low access to doctors,very high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,very high hispanic population,0.809296,0.663429906,very high covid risk index,very high social vulnerability rank
17165,midwest,rural,high elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,high cardiovascular disease rate,very high poverty rate,medium african american population,very low hispanic population,0.809615,0.683805582,very high covid risk index,very high social vulnerability rank
21077,southeast,suburban,very low elderly percentage,moderate access to doctors,low uninsured rate,high diabetes rate,very high cardiovascular disease rate,moderate poverty rate,medium african american population,medium hispanic population,0.809933,0.644699141,very high covid risk index,high social vulnerability rank
21175,southeast,rural,low elderly percentage,very high access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very high poverty rate,medium african american population,very low hispanic population,0.810252,0.630107185,very high covid risk index,high social vulnerability rank
37145,southeast,small city,moderate elderly percentage,high access to doctors,moderate uninsured rate,low diabetes rate,very high cardiovascular disease rate,moderate poverty rate,null,medium hispanic population,0.81057,0.68598111,very high covid risk index,very high social vulnerability rank
21131,southeast,rural,low elderly percentage,very high access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,very low african american population,very low hispanic population,0.810888,0.614666242,very high covid risk index,high social vulnerability rank
48415,southwest,rural,low elderly percentage,moderate access to doctors,very high uninsured rate,low diabetes rate,moderate cardiovascular disease rate,high poverty rate,high african american population,very high hispanic population,0.811207,0.638862358,very high covid risk index,high social vulnerability rank
21137,southeast,rural,moderate elderly percentage,high access to doctors,low uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,medium african american population,very low hispanic population,0.811525,0.616629524,very high covid risk index,high social vulnerability rank
51590,southeast,rural,high elderly percentage,very low access to doctors,moderate uninsured rate,moderate diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.811843,0.718454844,very high covid risk index,very high social vulnerability rank
5025,southeast,small city,high elderly percentage,very high access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,moderate poverty rate,high african american population,very low hispanic population,0.812162,0.650907354,very high covid risk index,very high social vulnerability rank
12077,southeast,rural,low elderly percentage,null,high uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.81248,0.684123952,very high covid risk index,very high social vulnerability rank
51143,southeast,rural,high elderly percentage,very high access to doctors,high uninsured rate,moderate diabetes rate,high cardiovascular disease rate,high poverty rate,null,low hispanic population,0.812798,0.626870424,very high covid risk index,high social vulnerability rank
29181,midwest,rural,high elderly percentage,moderate access to doctors,high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,very low african american population,very low hispanic population,0.813117,0.626180622,very high covid risk index,high social vulnerability rank
48255,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very high poverty rate,high african american population,very high hispanic population,0.813435,0.646078744,very high covid risk index,high social vulnerability rank
48477,southwest,rural,high elderly percentage,low access to doctors,very high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,null,very high hispanic population,0.813754,0.655417595,very high covid risk index,very high social vulnerability rank
40127,southwest,rural,very high elderly percentage,very high access to doctors,very high uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,very high poverty rate,low african american population,medium hispanic population,0.814072,0.712352754,very high covid risk index,very high social vulnerability rank
12086,southeast,urban,low elderly percentage,very low access to doctors,very high uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,high poverty rate,null,very high hispanic population,0.81439,0.598694683,very high covid risk index,high social vulnerability rank
13125,southeast,rural,low elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,high poverty rate,high african american population,very low hispanic population,0.814709,0.646344052,very high covid risk index,high social vulnerability rank
45025,southeast,rural,moderate elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.815027,0.696009764,very high covid risk index,very high social vulnerability rank
47017,southeast,rural,high elderly percentage,moderate access to doctors,moderate uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,high african american population,low hispanic population,0.815345,0.682691287,very high covid risk index,very high social vulnerability rank
21087,southeast,rural,high elderly percentage,very high access to doctors,low uninsured rate,moderate diabetes rate,high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.815664,0.650005306,very high covid risk index,very high social vulnerability rank
35033,southwest,rural,very high elderly percentage,null,moderate uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very high poverty rate,very low african american population,very high hispanic population,0.815982,0.661731933,very high covid risk index,very high social vulnerability rank
13191,southeast,small city,very high elderly percentage,null,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.816301,0.650535923,very high covid risk index,very high social vulnerability rank
21201,southeast,rural,very high elderly percentage,null,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,low african american population,very low hispanic population,0.816619,0.623739786,very high covid risk index,high social vulnerability rank
48089,southwest,rural,high elderly percentage,moderate access to doctors,very high uninsured rate,low diabetes rate,high cardiovascular disease rate,moderate poverty rate,high african american population,very high hispanic population,0.816937,0.661466624,very high covid risk index,very high social vulnerability rank
28077,southeast,rural,moderate elderly percentage,very high access to doctors,high uninsured rate,high diabetes rate,high cardiovascular disease rate,high poverty rate,null,very low hispanic population,0.817256,0.623580601,very high covid risk index,high social vulnerability rank
45049,southeast,rural,moderate elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.817574,0.662793166,very high covid risk index,very high social vulnerability rank
28083,southeast,rural,very low elderly percentage,very low access to doctors,high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,low hispanic population,0.817892,0.720365064,very high covid risk index,very high social vulnerability rank
6101,pacific,small city,very low elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,very high hispanic population,0.818211,0.680462698,very high covid risk index,very high social vulnerability rank
29169,midwest,rural,very low elderly percentage,high access to doctors,moderate uninsured rate,moderate diabetes rate,high cardiovascular disease rate,moderate poverty rate,high african american population,high hispanic population,0.818529,0.627666348,very high covid risk index,high social vulnerability rank
47135,southeast,rural,high elderly percentage,very high access to doctors,high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,low hispanic population,0.818848,0.664491139,very high covid risk index,very high social vulnerability rank
28015,southeast,rural,very high elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,null,very low hispanic population,0.819166,0.651915526,very high covid risk index,very high social vulnerability rank
12065,southeast,small city,very high elderly percentage,very high access to doctors,high uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,null,medium hispanic population,0.819484,0.629470445,very high covid risk index,high social vulnerability rank
1029,southeast,rural,moderate elderly percentage,very high access to doctors,high uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,low hispanic population,0.819803,0.626339807,very high covid risk index,high social vulnerability rank
46007,midwest,rural,very low elderly percentage,null,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,very low african american population,high hispanic population,0.820121,0.697124058,very high covid risk index,very high social vulnerability rank
21109,southeast,rural,low elderly percentage,very high access to doctors,low uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,very low african american population,very low hispanic population,0.820439,0.645813435,very high covid risk index,high social vulnerability rank
37003,southeast,small city,moderate elderly percentage,very high access to doctors,high uninsured rate,very high diabetes rate,high cardiovascular disease rate,moderate poverty rate,high african american population,medium hispanic population,0.820758,0.645070572,very high covid risk index,high social vulnerability rank
21099,southeast,rural,low elderly percentage,high access to doctors,low uninsured rate,very low diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,very low hispanic population,0.821076,0.673405497,very high covid risk index,very high social vulnerability rank
48291,southwest,suburban,very low elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,moderate poverty rate,high african american population,very high hispanic population,0.821394,0.675527963,very high covid risk index,very high social vulnerability rank
48387,southwest,rural,very high elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,null,high hispanic population,0.821713,0.620503025,very high covid risk index,high social vulnerability rank
37005,southeast,rural,very high elderly percentage,very low access to doctors,very high uninsured rate,low diabetes rate,very low cardiovascular disease rate,high poverty rate,medium african american population,high hispanic population,0.822031,0.675368779,very high covid risk index,very high social vulnerability rank
21187,southeast,rural,moderate elderly percentage,high access to doctors,very low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,low hispanic population,0.82235,0.636739892,very high covid risk index,high social vulnerability rank
12045,southeast,small city,high elderly percentage,moderate access to doctors,high uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.822668,0.65621352,very high covid risk index,very high social vulnerability rank
48483,southwest,rural,moderate elderly percentage,high access to doctors,very high uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,very high hispanic population,0.822986,0.677597368,very high covid risk index,very high social vulnerability rank
40033,southwest,small city,high elderly percentage,very high access to doctors,very high uninsured rate,low diabetes rate,moderate cardiovascular disease rate,high poverty rate,medium african american population,high hispanic population,0.823305,0.683115781,very high covid risk index,very high social vulnerability rank
1047,southeast,rural,low elderly percentage,low access to doctors,moderate uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.823623,0.688262761,very high covid risk index,very high social vulnerability rank
21171,southeast,rural,moderate elderly percentage,moderate access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,medium african american population,low hispanic population,0.823941,0.67542184,very high covid risk index,very high social vulnerability rank
41031,pacific,rural,moderate elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,low cardiovascular disease rate,high poverty rate,low african american population,very high hispanic population,0.82426,0.710283349,very high covid risk index,very high social vulnerability rank
45065,southeast,rural,very high elderly percentage,high access to doctors,moderate uninsured rate,high diabetes rate,very low cardiovascular disease rate,high poverty rate,null,very low hispanic population,0.824578,0.661731933,very high covid risk index,very high social vulnerability rank
28027,southeast,rural,very low elderly percentage,low access to doctors,high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.824897,0.722328346,very high covid risk index,very high social vulnerability rank
21007,southeast,rural,high elderly percentage,null,very low uninsured rate,high diabetes rate,very high cardiovascular disease rate,moderate poverty rate,high african american population,very low hispanic population,0.825215,0.661731933,very high covid risk index,very high social vulnerability rank
13207,southeast,small city,moderate elderly percentage,low access to doctors,high uninsured rate,low diabetes rate,high cardiovascular disease rate,moderate poverty rate,null,low hispanic population,0.825533,0.675581025,very high covid risk index,very high social vulnerability rank
48443,southwest,rural,very high elderly percentage,null,very high uninsured rate,low diabetes rate,low cardiovascular disease rate,high poverty rate,medium african american population,very high hispanic population,0.825852,0.601400828,very high covid risk index,high social vulnerability rank
51001,southeast,rural,very high elderly percentage,moderate access to doctors,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,high poverty rate,null,high hispanic population,0.82617,0.680940253,very high covid risk index,very high social vulnerability rank
48495,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,very high hispanic population,0.826488,0.559269872,very high covid risk index,high social vulnerability rank
40061,southwest,rural,high elderly percentage,high access to doctors,very high uninsured rate,low diabetes rate,very high cardiovascular disease rate,very high poverty rate,low african american population,medium hispanic population,0.826807,0.681364746,very high covid risk index,very high social vulnerability rank
13285,southeast,rural,very low elderly percentage,moderate access to doctors,high uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.827125,0.69654038,very high covid risk index,very high social vulnerability rank
48327,southwest,rural,very high elderly percentage,moderate access to doctors,very high uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very high poverty rate,low african american population,very high hispanic population,0.827443,0.627613287,very high covid risk index,high social vulnerability rank
5037,southeast,rural,moderate elderly percentage,high access to doctors,low uninsured rate,very high diabetes rate,high cardiovascular disease rate,high poverty rate,null,low hispanic population,0.827762,0.682054547,very high covid risk index,very high social vulnerability rank
40077,southwest,rural,high elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,low african american population,medium hispanic population,0.82808,0.724185504,very high covid risk index,very high social vulnerability rank
22001,southeast,small city,very low elderly percentage,high access to doctors,moderate uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,low hispanic population,0.828399,0.719303831,very high covid risk index,very high social vulnerability rank
13079,southeast,small city,moderate elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,null,very low hispanic population,0.828717,0.672503449,very high covid risk index,very high social vulnerability rank
22053,southeast,rural,low elderly percentage,moderate access to doctors,moderate uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,null,low hispanic population,0.829035,0.702483286,very high covid risk index,very high social vulnerability rank
40029,southwest,rural,high elderly percentage,very high access to doctors,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,very low african american population,medium hispanic population,0.829354,0.705720047,very high covid risk index,very high social vulnerability rank
48117,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,very low diabetes rate,low cardiovascular disease rate,high poverty rate,low african american population,very high hispanic population,0.829672,0.652074711,very high covid risk index,very high social vulnerability rank
47007,southeast,rural,moderate elderly percentage,very high access to doctors,high uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very high poverty rate,high african american population,low hispanic population,0.82999,0.651756341,very high covid risk index,very high social vulnerability rank
22045,southeast,small city,very low elderly percentage,moderate access to doctors,moderate uninsured rate,high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.830309,0.743818317,very high covid risk index,very high social vulnerability rank
48203,southwest,rural,low elderly percentage,very high access to doctors,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,moderate poverty rate,null,high hispanic population,0.830627,0.656001273,very high covid risk index,very high social vulnerability rank
51670,southeast,suburban,low elderly percentage,high access to doctors,moderate uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,high hispanic population,0.830946,0.692136262,very high covid risk index,very high social vulnerability rank
8011,rockies,rural,moderate elderly percentage,null,moderate uninsured rate,very low diabetes rate,low cardiovascular disease rate,very high poverty rate,medium african american population,very high hispanic population,0.831264,0.690226043,very high covid risk index,very high social vulnerability rank
29155,midwest,rural,low elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,low hispanic population,0.831582,0.711875199,very high covid risk index,very high social vulnerability rank
37197,southeast,small city,moderate elderly percentage,high access to doctors,high uninsured rate,low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,high hispanic population,0.831901,0.676960628,very high covid risk index,very high social vulnerability rank
36081,northeast,urban,very low elderly percentage,low access to doctors,moderate uninsured rate,moderate diabetes rate,low cardiovascular disease rate,low poverty rate,null,very high hispanic population,0.832219,0.630796986,very high covid risk index,high social vulnerability rank
13197,southeast,small city,high elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,low cardiovascular disease rate,very high poverty rate,null,high hispanic population,0.832537,0.684070891,very high covid risk index,very high social vulnerability rank
21003,southeast,small city,low elderly percentage,very high access to doctors,low uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,low hispanic population,0.832856,0.641409318,very high covid risk index,high social vulnerability rank
1045,southeast,rural,low elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,high cardiovascular disease rate,high poverty rate,null,high hispanic population,0.833174,0.636580707,very high covid risk index,high social vulnerability rank
48435,southwest,rural,low elderly percentage,very low access to doctors,very high uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,very low african american population,very high hispanic population,0.833493,0.659556405,very high covid risk index,very high social vulnerability rank
21165,southeast,rural,high elderly percentage,moderate access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,very low african american population,very low hispanic population,0.833811,0.641037886,very high covid risk index,high social vulnerability rank
48249,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,high diabetes rate,very high cardiovascular disease rate,very high poverty rate,low african american population,very high hispanic population,0.834129,0.69685875,very high covid risk index,very high social vulnerability rank
48007,southwest,small city,very high elderly percentage,high access to doctors,very high uninsured rate,very high diabetes rate,low cardiovascular disease rate,very high poverty rate,medium african american population,very high hispanic population,0.834448,0.699617956,very high covid risk index,very high social vulnerability rank
22085,southeast,rural,high elderly percentage,very high access to doctors,high uninsured rate,low diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.834766,0.684866815,very high covid risk index,very high social vulnerability rank
26011,midwest,rural,very high elderly percentage,high access to doctors,low uninsured rate,high diabetes rate,very high cardiovascular disease rate,high poverty rate,low african american population,low hispanic population,0.835084,0.659503343,very high covid risk index,very high social vulnerability rank
48155,southwest,rural,very high elderly percentage,null,very high uninsured rate,very low diabetes rate,low cardiovascular disease rate,high poverty rate,medium african american population,very high hispanic population,0.835403,0.636421522,very high covid risk index,high social vulnerability rank
6107,pacific,small city,very low elderly percentage,high access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very high poverty rate,medium african american population,very high hispanic population,0.835721,0.67733206,very high covid risk index,very high social vulnerability rank
16087,rockies,rural,very high elderly percentage,moderate access to doctors,very high uninsured rate,low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,very high hispanic population,0.836039,0.721638544,very high covid risk index,very high social vulnerability rank
21061,southeast,small city,high elderly percentage,very high access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.836358,0.629470445,very high covid risk index,high social vulnerability rank
40069,southwest,rural,moderate elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,medium hispanic population,0.836676,0.682532102,very high covid risk index,very high social vulnerability rank
21229,southeast,rural,moderate elderly percentage,high access to doctors,low uninsured rate,very high diabetes rate,high cardiovascular disease rate,moderate poverty rate,high african american population,medium hispanic population,0.836995,0.662103364,very high covid risk index,very high social vulnerability rank
5127,southeast,rural,high elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,very low african american population,high hispanic population,0.837313,0.695479147,very high covid risk index,very high social vulnerability rank
5067,southeast,rural,moderate elderly percentage,high access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,low hispanic population,0.837631,0.674360607,very high covid risk index,very high social vulnerability rank
48349,southwest,rural,low elderly percentage,moderate access to doctors,very high uninsured rate,low diabetes rate,high cardiovascular disease rate,very high poverty rate,high african american population,very high hispanic population,0.83795,0.718560968,very high covid risk index,very high social vulnerability rank
47005,southeast,rural,very high elderly percentage,very high access to doctors,high uninsured rate,high diabetes rate,high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.838268,0.651225724,very high covid risk index,very high social vulnerability rank
6031,pacific,small city,very low elderly percentage,high access to doctors,low uninsured rate,high diabetes rate,moderate cardiovascular disease rate,high poverty rate,high african american population,very high hispanic population,0.838586,0.664915632,very high covid risk index,very high social vulnerability rank
39087,midwest,small city,moderate elderly percentage,moderate access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.838905,0.633662316,very high covid risk index,high social vulnerability rank
28101,southeast,rural,low elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.839223,0.698026106,very high covid risk index,very high social vulnerability rank
48369,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,low african american population,very high hispanic population,0.839542,0.655682904,very high covid risk index,very high social vulnerability rank
29179,midwest,rural,very high elderly percentage,moderate access to doctors,high uninsured rate,high diabetes rate,very high cardiovascular disease rate,very high poverty rate,medium african american population,low hispanic population,0.83986,0.677385121,very high covid risk index,very high social vulnerability rank
37137,southeast,small city,very high elderly percentage,moderate access to doctors,high uninsured rate,high diabetes rate,moderate cardiovascular disease rate,high poverty rate,null,medium hispanic population,0.840178,0.672981004,very high covid risk index,very high social vulnerability rank
41049,pacific,rural,very low elderly percentage,high access to doctors,moderate uninsured rate,very high diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,very high hispanic population,0.840497,0.698344476,very high covid risk index,very high social vulnerability rank
47137,southeast,rural,very high elderly percentage,high access to doctors,moderate uninsured rate,high diabetes rate,high cardiovascular disease rate,high poverty rate,low african american population,very low hispanic population,0.840815,0.646184867,very high covid risk index,high social vulnerability rank
39105,midwest,rural,moderate elderly percentage,very high access to doctors,low uninsured rate,high diabetes rate,very high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.841133,0.665393187,very high covid risk index,very high social vulnerability rank
48487,southwest,rural,moderate elderly percentage,moderate access to doctors,very high uninsured rate,high diabetes rate,high cardiovascular disease rate,moderate poverty rate,high african american population,very high hispanic population,0.841452,0.692507694,very high covid risk index,very high social vulnerability rank
28151,southeast,rural,very low elderly percentage,moderate access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.84177,0.740369309,very high covid risk index,very high social vulnerability rank
5061,southeast,rural,moderate elderly percentage,moderate access to doctors,moderate uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,high poverty rate,null,high hispanic population,0.842089,0.737557041,very high covid risk index,very high social vulnerability rank
6011,pacific,rural,very low elderly percentage,high access to doctors,moderate uninsured rate,very high diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,very high hispanic population,0.842407,0.659927836,very high covid risk index,very high social vulnerability rank
28137,southeast,suburban,low elderly percentage,very high access to doctors,high uninsured rate,high diabetes rate,very high cardiovascular disease rate,high poverty rate,null,low hispanic population,0.842725,0.680781068,very high covid risk index,very high social vulnerability rank
22025,southeast,rural,low elderly percentage,very high access to doctors,moderate uninsured rate,high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.843044,0.680993314,very high covid risk index,very high social vulnerability rank
21033,southeast,rural,high elderly percentage,low access to doctors,very low uninsured rate,high diabetes rate,moderate cardiovascular disease rate,high poverty rate,high african american population,very low hispanic population,0.843362,0.658282925,very high covid risk index,very high social vulnerability rank
22021,southeast,rural,moderate elderly percentage,high access to doctors,moderate uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,low hispanic population,0.84368,0.701528176,very high covid risk index,very high social vulnerability rank
39127,midwest,suburban,low elderly percentage,very high access to doctors,low uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.843999,0.658813541,very high covid risk index,very high social vulnerability rank
26135,midwest,rural,very high elderly percentage,very high access to doctors,low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,low african american population,very low hispanic population,0.844317,0.675846334,very high covid risk index,very high social vulnerability rank
45017,southeast,small city,very high elderly percentage,very high access to doctors,high uninsured rate,high diabetes rate,moderate cardiovascular disease rate,high poverty rate,null,medium hispanic population,0.844635,0.676960628,very high covid risk index,very high social vulnerability rank
13147,southeast,rural,high elderly percentage,high access to doctors,very high uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,null,medium hispanic population,0.844954,0.676907566,very high covid risk index,very high social vulnerability rank
22007,southeast,rural,low elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,low hispanic population,0.845272,0.664331954,very high covid risk index,very high social vulnerability rank
37101,southeast,suburban,very low elderly percentage,very high access to doctors,high uninsured rate,low diabetes rate,very high cardiovascular disease rate,low poverty rate,null,high hispanic population,0.845591,0.649315505,very high covid risk index,high social vulnerability rank
48115,southwest,rural,very low elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,high african american population,very high hispanic population,0.845909,0.656107397,very high covid risk index,very high social vulnerability rank
5141,southeast,rural,very high elderly percentage,very high access to doctors,moderate uninsured rate,high diabetes rate,low cardiovascular disease rate,high poverty rate,very low african american population,low hispanic population,0.846227,0.669744243,very high covid risk index,very high social vulnerability rank
37161,southeast,rural,high elderly percentage,high access to doctors,high uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,high poverty rate,high african american population,medium hispanic population,0.846546,0.688475008,very high covid risk index,very high social vulnerability rank
37111,southeast,rural,high elderly percentage,very high access to doctors,high uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,high hispanic population,0.846864,0.706091479,very high covid risk index,very high social vulnerability rank
26013,midwest,rural,high elderly percentage,very low access to doctors,low uninsured rate,very high diabetes rate,low cardiovascular disease rate,moderate poverty rate,high african american population,very low hispanic population,0.847182,0.656160459,very high covid risk index,very high social vulnerability rank
37069,southeast,suburban,low elderly percentage,very high access to doctors,high uninsured rate,very low diabetes rate,high cardiovascular disease rate,low poverty rate,null,high hispanic population,0.847501,0.644380771,very high covid risk index,high social vulnerability rank
13235,southeast,small city,moderate elderly percentage,low access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.847819,0.706622095,very high covid risk index,very high social vulnerability rank
